RUN	KarateSimulate	karatesimulate	1596739137110	 	3.3.1
USER	Get Scores for instruments	1	START	1596739137478	1596739137478
USER	Get Scores for instruments	2	START	1596739137479	1596739137479
USER	Get Scores for instruments	3	START	1596739137510	1596739137510
USER	Get Scores for instruments	4	START	1596739137514	1596739137514
USER	Get Scores for instruments	5	START	1596739137530	1596739137530
USER	Get Scores for instruments	6	START	1596739137534	1596739137534
USER	Get Scores for instruments	8	START	1596739137554	1596739137554
USER	Get Scores for instruments	7	START	1596739137553	1596739137553
USER	Get Scores for instruments	9	START	1596739137568	1596739137568
USER	Get Scores for instruments	10	START	1596739137573	1596739137573
USER	Get Scores for instruments	11	START	1596739137584	1596739137584
USER	Get Scores for instruments	12	START	1596739137600	1596739137600
USER	Get Scores for instruments	13	START	1596739137603	1596739137603
USER	Get Scores for instruments	14	START	1596739137615	1596739137615
USER	Get Scores for instruments	15	START	1596739137632	1596739137632
USER	Get Scores for instruments	16	START	1596739137635	1596739137635
USER	Get Scores for instruments	17	START	1596739137647	1596739137647
USER	Get Scores for instruments	18	START	1596739137654	1596739137654
USER	Get Scores for instruments	19	START	1596739137666	1596739137666
USER	Get Scores for instruments	20	START	1596739137677	1596739137677
USER	Get Scores for instruments	21	START	1596739137683	1596739137683
USER	Get Scores for instruments	22	START	1596739137699	1596739137699
USER	Get Scores for instruments	23	START	1596739137705	1596739137705
USER	Get Scores for instruments	24	START	1596739137720	1596739137720
USER	Get Scores for instruments	25	START	1596739137724	1596739137724
USER	Get Scores for instruments	26	START	1596739137738	1596739137738
USER	Get Scores for instruments	27	START	1596739137742	1596739137742
USER	Get Scores for instruments	28	START	1596739137753	1596739137753
USER	Get Scores for instruments	29	START	1596739137768	1596739137768
USER	Get Scores for instruments	30	START	1596739137772	1596739137772
USER	Get Scores for instruments	31	START	1596739137782	1596739137782
USER	Get Scores for instruments	32	START	1596739137792	1596739137792
USER	Get Scores for instruments	33	START	1596739137806	1596739137806
USER	Get Scores for instruments	34	START	1596739137820	1596739137820
USER	Get Scores for instruments	35	START	1596739137822	1596739137822
USER	Get Scores for instruments	36	START	1596739137833	1596739137833
USER	Get Scores for instruments	37	START	1596739137846	1596739137846
USER	Get Scores for instruments	38	START	1596739137856	1596739137856
USER	Get Scores for instruments	39	START	1596739137866	1596739137866
USER	Get Scores for instruments	40	START	1596739137879	1596739137879
USER	Get Scores for instruments	41	START	1596739137882	1596739137882
USER	Get Scores for instruments	42	START	1596739137892	1596739137892
USER	Get Scores for instruments	43	START	1596739137904	1596739137904
USER	Get Scores for instruments	44	START	1596739137916	1596739137916
USER	Get Scores for instruments	45	START	1596739137926	1596739137926
USER	Get Scores for instruments	46	START	1596739137938	1596739137938
USER	Get Scores for instruments	47	START	1596739137942	1596739137942
USER	Get Scores for instruments	48	START	1596739137952	1596739137952
USER	Get Scores for instruments	49	START	1596739137963	1596739137963
USER	Get Scores for instruments	50	START	1596739137976	1596739137976
USER	Get Scores for instruments	51	START	1596739137989	1596739137989
